話,wa:˨,waa6,wah,wâ,waa˨,to say
蛋,ta:n˧˥,daan2,dáan,táan,daan˧˥,egg
今,kɐm˥˧,gam1,gàm,kam,gam˥˧,today/now
平,p<sup>h</sup>ɛ:ŋ˨˩,peng4,pèhng,p'ēng,peng˨˩,cheap/inexpensive
你,nei˩˧,nei5,néih,nĕi,nei˩˧,you
便,pi:n˨,bin6,bihn,pîn,bin˨,side
聽,t<sup>h</sup>ɪŋ˥˧,ting1,tìng,t'ing,ting˥˧,tomorrow
可,hɔ:˧˥,ho2,hó,hó,ho˧˥,can/may/able
咁,kom˧,gom3,gom,kòm,gom˧,so/very/such
門,mu:n˨˩,mun4,mùhn,mōon,mun˨˩,door
凍,tʊŋ˧,dung3,dung,tùng,dung˧,cold/cool
長,tɕ<sup>h</sup>œ:ŋ˨˩,coeng4,chèuhng,ch'ēung,choeng˨˩,long
佢,k<sup>h</sup>ɵy˩˧,keoi5,kéuih,k'ŭi,keoi˩˧,he/she/it
權,k<sup>h</sup>y:n˨˩,kyun4,kyùhn,k'ūen,kyun˨˩,power